start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731576839249,1731576839250,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839250,1731576839266,16,4318,4059,226.112899,0.976355,0.001005,0.015622,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839266,1731576839267,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839267,1731576839310,43,4318,4059,226.112899,0.976355,0.002701,0.041983,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576839310,1731576839311,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839311,1731576839320,9,4318,4059,226.112899,0.976355,0.000565,0.008787,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839320,1731576839321,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839321,1731576839324,3,4318,4059,226.112899,0.976355,0.000188,0.002929,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576839324,1731576839350,26,4318,4059,226.112899,0.976355,0.001633,0.025385,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['NetworkStats' 'screen']
1731576839350,1731576839514,164,4318,4059,226.112899,0.976355,0.010301,0.160122,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576839514,1731576839523,9,4318,4059,226.112899,0.976355,0.000565,0.008787,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839523,1731576839555,32,4318,4059,226.112899,0.976355,0.002010,0.031243,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576839555,1731576840002,447,4318,4059,226.112899,0.976355,0.028076,0.436431,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576840002,1731576840003,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*alarm*:TIME_TICK' 'screen']
1731576840003,1731576847185,7182,4318,4059,226.112899,0.976355,0.451095,7.012185,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576847185,1731576856146,8961,4318,4059,226.112899,0.976355,0.562833,8.749122,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731576856146,1731576856147,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576856147,1731576856154,7,4318,4059,226.112899,0.976355,0.000440,0.006834,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576856154,1731576856155,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731576856155,1731576856200,45,4318,4059,226.112899,0.976355,0.002826,0.043936,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576856200,1731576862311,6111,4318,4059,226.112899,0.976355,0.383827,5.966508,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731576862311,1731576862315,4,4318,4059,226.112899,0.976355,0.000251,0.003905,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576862315,1731576862322,7,4318,4059,226.112899,0.976355,0.000440,0.006834,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576862322,1731576862330,8,4318,4059,226.112899,0.976355,0.000502,0.007811,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576862330,1731576870824,8494,4318,4059,226.112899,0.976355,0.533501,8.293164,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576870824,1731576870829,5,4318,4059,226.112899,0.976355,0.000314,0.004882,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['Wakeful StateMachine: GeofencerStateMachine' 'screen']
1731576870829,1731576870864,35,4318,4059,226.112899,0.976355,0.002198,0.034172,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576870864,1731576870867,3,4318,4059,226.112899,0.976355,0.000188,0.002929,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['CallbackRunner' 'screen']
1731576870867,1731576871456,589,4318,4059,226.112899,0.976355,0.036995,0.575073,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576871456,1731576871494,38,4318,4059,226.112899,0.976355,0.002387,0.037102,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,"['BuglePhoneApplicationBase#attatchBaseContext -> Application creation -> Application.onCreate -> StartupHandlerImpl#onApplicationCreated -> StartupHandlerImpl#onApplicationCreatedInternal -> PhoneAsyncAppCreateStartupTask -> PhenotypeHelper#registerPhenotype -> PhenotypeHelper#onBuglePhenotypeChanged -> WorkQueueBatchingImpl#queueWorkItem -> WorkQueueBatchingImpl#queueWorkItems -> WorkQueueBatchingImpl#schedulingDeferred'
 'screen']"
1731576871494,1731576871641,147,4318,4059,226.112899,0.976355,0.009233,0.143524,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576871641,1731576871681,40,4318,4059,226.112899,0.976355,0.002512,0.039054,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,"['*job*/com.google.android.apps.messaging/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1731576871681,1731576872616,935,4318,4059,226.112899,0.976355,0.058727,0.912892,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872616,1731576872617,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872617,1731576872618,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872618,1731576872626,8,4318,4059,226.112899,0.976355,0.000502,0.007811,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872626,1731576872627,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872627,1731576872663,36,4318,4059,226.112899,0.976355,0.002261,0.035149,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872663,1731576872752,89,4318,4059,226.112899,0.976355,0.005590,0.086896,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872752,1731576872753,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872753,1731576872763,10,4318,4059,226.112899,0.976355,0.000628,0.009764,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872763,1731576872764,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872764,1731576872769,5,4318,4059,226.112899,0.976355,0.000314,0.004882,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872769,1731576872770,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872770,1731576872771,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872771,1731576872780,9,4318,4059,226.112899,0.976355,0.000565,0.008787,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872780,1731576872781,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872781,1731576872785,4,4318,4059,226.112899,0.976355,0.000251,0.003905,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872785,1731576872786,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872786,1731576872794,8,4318,4059,226.112899,0.976355,0.000502,0.007811,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872794,1731576872795,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872795,1731576872800,5,4318,4059,226.112899,0.976355,0.000314,0.004882,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872800,1731576872801,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872801,1731576872807,6,4318,4059,226.112899,0.976355,0.000377,0.005858,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872807,1731576872808,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872808,1731576872812,4,4318,4059,226.112899,0.976355,0.000251,0.003905,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872812,1731576872813,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872813,1731576872819,6,4318,4059,226.112899,0.976355,0.000377,0.005858,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872819,1731576872820,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872820,1731576872823,3,4318,4059,226.112899,0.976355,0.000188,0.002929,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872823,1731576872824,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872824,1731576872832,8,4318,4059,226.112899,0.976355,0.000502,0.007811,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576872832,1731576872833,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872833,1731576872837,4,4318,4059,226.112899,0.976355,0.000251,0.003905,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576872837,1731576872838,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
