start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731583280811,1731583281839,1028,4201,3667,383.774852,1.612238,0.109589,1.657381,com.twitter.android,True,False,True,False,False,False,True,False,['AudioMix AudioOut_1D1138' 'screen']
1731583281839,1731583281860,21,4201,3667,383.774852,1.612238,0.002239,0.033857,com.twitter.android,True,False,True,False,False,False,True,False,['NetworkStats' 'AudioMix AudioOut_1D1138' 'screen']
1731583281860,1731583283184,1324,4201,3667,383.774852,1.612238,0.141144,2.134603,com.twitter.android,True,False,True,False,False,False,True,False,['AudioMix AudioOut_1D1138' 'screen']
1731583283184,1731583283331,147,4201,3667,383.774852,1.612238,0.015671,0.236999,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' '*launch*' 'screen']
1731583283331,1731583283478,147,4201,3667,383.774852,1.612238,0.015671,0.236999,com.twitter.android,True,False,True,False,False,False,True,True,['*launch*' 'AudioMix AudioOut_1D1138' 'screen']
1731583283478,1731583283525,47,4201,3667,383.774852,1.612238,0.005010,0.075775,com.twitter.android,True,False,True,False,False,False,True,True,"['*job*/com.twitter.android/androidx.work.impl.background.systemjob.SystemJobService'
 '*launch*' 'AudioMix AudioOut_1D1138' 'screen']"
1731583283525,1731583283794,269,4201,3667,383.774852,1.612238,0.028677,0.433692,com.twitter.android,True,False,True,False,False,False,True,True,['*launch*' 'AudioMix AudioOut_1D1138' 'screen']
1731583283794,1731583285106,1312,4201,3667,383.774852,1.612238,0.139865,2.115256,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'screen']
1731583285106,1731583285124,18,4201,3667,383.774852,1.612238,0.001919,0.029020,com.twitter.android,True,False,True,False,False,False,True,True,['NetworkStats' 'AudioMix AudioOut_1D1138' 'screen']
1731583285124,1731583285931,807,4201,3667,383.774852,1.612238,0.086030,1.301076,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'screen']
